created_at,status,player,normalized_player,history_matches,source_prediction_date,source_tournament,source_surface,source_confidence,reasons,notes
2026-06-26T20:30:04Z,needs_enrichment,G. Hakopian,g hakopian,0,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,G. Hornung,g hornung,0,2026-06-27,UTR Budapest M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,G. Kulevich,g kulevich,0,2026-06-27,UTR Knoxville W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,G. Oboniye,g oboniye,0,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,G. Roach,g roach,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,G. Villegas,g villegas,0,2026-06-27,UTR PTT Waco Women 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,H. Best,h best,0,2026-06-27,UTR PTT Umag Men 02,Clay,0.504,low_confidence;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,H. McAslin,h mcaslin,0,2026-06-27,UTR PTT Waco Women 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,H. Read,h read,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,"Hussey, Brady",hussey brady,0,2026-06-27,UTR Knoxville M01,Unknown,0.504,low_confidence;unknown_surface;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,I. Ashar,i ashar,0,2026-06-27,UTR PTT Waco Women 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,I. Heinzova,i heinzova,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,I. Montes-de la Torre,i montes de la torre,0,2026-06-27,ATP Challenger Plovdiv,Grass,0.504,low_confidence;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,J. Day,j day,0,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,J. Dunyon,j dunyon,0,2026-06-27,UTR Knoxville W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,J. Garcia,j garcia,0,2026-06-27,UTR Knoxville M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,J. Saner,j saner,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,K. Erickson,k erickson,0,2026-06-27,UTR PTT Waco Women 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,K. Halmos,k halmos,0,2026-06-27,UTR Budapest M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,K. Molnar,k molnar,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,K. Teso,k teso,0,2026-06-27,UTR PTT Waco Women 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,L. Alexin,l alexin,0,2026-06-27,UTR PTT Waco Women 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,L. Brotman,l brotman,0,2026-06-27,UTR PTT Waco Women 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,L. Cvanciger,l cvanciger,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,L. Donnelly,l donnelly,0,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,L. Murphy,l murphy,0,2026-06-27,UTR Knoxville W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,L. Murray,l murray,0,2026-06-27,UTR PTT Waco Women 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,L. Oved,l oved,0,2026-06-27,UTR Knoxville W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,L. Pradkin,l pradkin,0,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,L. Svatíková,l svatikova,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,L. Weir,l weir,0,2026-06-27,UTR PTT Waco Women 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,M. Bartakovics,m bartakovics,0,2026-06-27,UTR Budapest M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
