created_at,match_date,tournament,surface,player,opponent,confidence,predicted_winner,normalized_player,history_matches,reasons
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,I. Heinzova,D. Shadchneva,0.504,D. Shadchneva,i heinzova,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,ATP Challenger Plovdiv,Grass,I. Montes-de la Torre,S. Kopp,0.504,S. Kopp,i montes de la torre,0,low_confidence;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,J. Day,P. Bushuev,0.504,J. Day,j day,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville W01,Unknown,J. Dunyon,A. Shannon,0.504,A. Shannon,j dunyon,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville M01,Unknown,J. Garcia,M. Sheldon,0.504,M. Sheldon,j garcia,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,J. Saner,N. Bak Szabo,0.504,J. Saner,j saner,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,K. Erickson,E. Brownback,0.504,E. Brownback,k erickson,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,K. Halmos,A. Major,0.504,A. Major,k halmos,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,K. Molnar,P. Bartha,0.504,K. Molnar,k molnar,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,K. Teso,D. Budko,0.504,D. Budko,k teso,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,L. Alexin,H. McAslin,0.504,H. McAslin,l alexin,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,L. Brotman,B. Yoris,0.504,L. Brotman,l brotman,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,L. Cvanciger,E. Ivanov,0.504,L. Cvanciger,l cvanciger,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,L. Donnelly,C. Ricci,0.504,L. Donnelly,l donnelly,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville W01,Unknown,L. Murphy,G. Kulevich,0.504,L. Murphy,l murphy,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,L. Murray,G. Villegas,0.504,L. Murray,l murray,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville W01,Unknown,L. Oved,C. McGill,0.504,L. Oved,l oved,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,L. Pradkin,A. Grechkina,0.504,A. Grechkina,l pradkin,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,L. Svatíková,P. Paukstyte,0.504,L. Svatíková,l svatikova,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,L. Weir,E. Mireles,0.504,E. Mireles,l weir,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,M. Bartakovics,R. Kis Balazs,0.504,M. Bartakovics,m bartakovics,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,M. Breazu,M. Valkusz,0.504,M. Breazu,m breazu,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Umag Men 02,Clay,M. Castle,R. Campagnola,0.504,R. Campagnola,m castle,0,low_confidence;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville W01,Unknown,M. Deatherage,A. Aulia,0.504,A. Aulia,m deatherage,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Waco Women 01,Unknown,M. Fuduric,S. Shulzhenko,0.504,M. Fuduric,m fuduric,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville M01,Unknown,M. Landreth,N. Mangiapane,0.504,N. Mangiapane,m landreth,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,M. Markovits,G. Hornung,0.504,G. Hornung,m markovits,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,M. Mazev,R. Yang,0.504,R. Yang,m mazev,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
